Cohort,arcgis,Lower Endpoint,Upper Endpoint,AAPC,Lower CI,Upper CI,Test Statistic~,P-Value~,AAPC,,Cohort,
Afghanistan,Afghanistan,1990,2019,-1.24,-1.31,-1.17,-34.86,< 0.001,-1.24*,"-1.24(-1.31,-1.17)",Afghanistan ,"-1.24(-1.31,-1.17)"
Armenia ,Armenia,1990,2019,-0.67,-1.64,0.3,-1.35,0.176,-0.67,"-0.67(-1.64,0.30)",Armenia ,"-0.67(-1.64,0.30)"
Azerbaijan ,Azerbaijan,1990,2019,0.76,0.13,1.38,2.38,0.018,0.76*,"0.76(0.13,1.38)",Azerbaijan ,"0.76(0.13,1.38)"
Bahrain ,Bahrain,1990,2019,-2.76,-3.61,-1.9,-6.25,< 0.001,-2.76*,"-2.76(-3.61,-1.90)",Bahrain ,"-2.76(-3.61,-1.90)"
Bangladesh ,Bangladesh,1990,2019,-1.79,-2.11,-1.46,-10.69,< 0.001,-1.79*,"-1.79(-2.11,-1.46)",Bangladesh ,"-1.79(-2.11,-1.46)"
Bhutan ,Bhutan,1990,2019,-1.31,-1.41,-1.21,-24.64,< 0.001,-1.31*,"-1.31(-1.41,-1.21)",Bhutan ,"-1.31(-1.41,-1.21)"
Brunei Darussalam ,Brunei,1990,2019,-0.81,-1.1,-0.52,-5.53,< 0.001,-0.81*,"-0.81(-1.10,-0.52)",Brunei Darussalam ,"-0.81(-1.10,-0.52)"
Cambodia ,Cambodia,1990,2019,-0.5,-0.63,-0.37,-7.38,< 0.001,-0.50*,"-0.50(-0.63,-0.37)",Cambodia ,"-0.50(-0.63,-0.37)"
China ,China,1990,2019,-2.45,-2.58,-2.32,-36.77,< 0.001,-2.45*,"-2.45(-2.58,-2.32)",China ,"-2.45(-2.58,-2.32)"
Cyprus ,Cyprus,1990,2019,-0.58,-0.76,-0.39,-6,< 0.001,-0.58*,"-0.58(-0.76,-0.39)",Cyprus ,"-0.58(-0.76,-0.39)"
Democratic People's Republic of Korea ,North Korea,1990,2019,-0.77,-0.83,-0.71,-25.65,< 0.001,-0.77*,"-0.77(-0.83,-0.71)",Democratic People's Republic of Korea ,"-0.77(-0.83,-0.71)"
Georgia ,Georgia,1990,2019,-1.15,-3.13,0.88,-1.12,0.265,-1.15,"-1.15(-3.13,0.88)",Georgia ,"-1.15(-3.13,0.88)"
India ,India,1990,2019,-1.12,-1.45,-0.79,-6.56,< 0.001,-1.12*,"-1.12(-1.45,-0.79)",India ,"-1.12(-1.45,-0.79)"
Indonesia ,Indonesia,1990,2019,-0.16,-0.22,-0.09,-4.83,< 0.001,-0.16*,"-0.16(-0.22,-0.09)",Indonesia ,"-0.16(-0.22,-0.09)"
Iran (Islamic Republic of) ,Iran,1990,2019,-1.52,-1.75,-1.29,-12.75,< 0.001,-1.52*,"-1.52(-1.75,-1.29)",Iran (Islamic Republic of) ,"-1.52(-1.75,-1.29)"
Iraq ,Iraq,1990,2019,-2.8,-3.1,-2.5,-17.84,< 0.001,-2.80*,"-2.80(-3.10,-2.50)",Iraq ,"-2.80(-3.10,-2.50)"
Israel ,Israel,1990,2019,-2.78,-3.12,-2.44,-15.79,< 0.001,-2.78*,"-2.78(-3.12,-2.44)",Israel ,"-2.78(-3.12,-2.44)"
Japan ,Japan,1990,2019,0.29,-0.01,0.6,1.87,0.062,0.29,"0.29(-0.01,0.60)",Japan ,"0.29(-0.01,0.60)"
Jordan ,Jordan,1990,2019,-2.36,-2.83,-1.88,-9.57,< 0.001,-2.36*,"-2.36(-2.83,-1.88)",Jordan ,"-2.36(-2.83,-1.88)"
Kazakhstan ,Kazakhstan,1990,2019,0.24,-0.06,0.54,1.59,0.112,0.24,"0.24(-0.06,0.54)",Kazakhstan ,"0.24(-0.06,0.54)"
Kuwait ,Kuwait,1990,2019,-2.31,-3.84,-0.75,-2.89,0.004,-2.31*,"-2.31(-3.84,-0.75)",Kuwait ,"-2.31(-3.84,-0.75)"
Kyrgyzstan ,Kyrgyzstan,1990,2019,0.62,-0.38,1.63,1.22,0.223,0.62,"0.62(-0.38,1.63)",Kyrgyzstan ,"0.62(-0.38,1.63)"
Lao People's Democratic Republic ,Laos,1990,2019,-1.54,-1.62,-1.45,-36.46,< 0.001,-1.54*,"-1.54(-1.62,-1.45)",Lao People's Democratic Republic ,"-1.54(-1.62,-1.45)"
Lebanon ,Lebanon,1990,2019,-1.5,-1.61,-1.4,-28.7,< 0.001,-1.50*,"-1.50(-1.61,-1.40)",Lebanon ,"-1.50(-1.61,-1.40)"
Malaysia ,Malaysia,1990,2019,-1.3,-1.6,-1,-8.48,< 0.001,-1.30*,"-1.30(-1.60,-1.00)",Malaysia ,"-1.30(-1.60,-1.00)"
Maldives ,Maldives,1990,2019,-2.7,-3.1,-2.29,-12.95,< 0.001,-2.70*,"-2.70(-3.10,-2.29)",Maldives ,"-2.70(-3.10,-2.29)"
Mongolia ,Mongolia,1990,2019,0.23,-0.08,0.54,1.45,0.147,0.23,"0.23(-0.08,0.54)",Mongolia ,"0.23(-0.08,0.54)"
Myanmar ,Myanmar,1990,2019,-1.53,-1.62,-1.43,-30.84,< 0.001,-1.53*,"-1.53(-1.62,-1.43)",Myanmar ,"-1.53(-1.62,-1.43)"
Nepal ,Nepal,1990,2019,-0.81,-1,-0.62,-8.37,< 0.001,-0.81*,"-0.81(-1.00,-0.62)",Nepal ,"-0.81(-1.00,-0.62)"
Oman ,Oman,1990,2019,-1.98,-2.28,-1.68,-12.9,< 0.001,-1.98*,"-1.98(-2.28,-1.68)",Oman ,"-1.98(-2.28,-1.68)"
Pakistan ,Pakistan,1990,2019,-0.16,-0.3,-0.02,-2.19,0.029,-0.16*,"-0.16(-0.30,-0.02)",Pakistan ,"-0.16(-0.30,-0.02)"
Palestine ,Palestine,1990,2019,-0.97,-1.34,-0.6,-5.11,< 0.001,-0.97*,"-0.97(-1.34,-0.60)",Palestine ,"-0.97(-1.34,-0.60)"
Philippines ,Philippines,1990,2019,-0.78,-0.9,-0.66,-12.69,< 0.001,-0.78*,"-0.78(-0.90,-0.66)",Philippines ,"-0.78(-0.90,-0.66)"
Qatar ,Qatar,1990,2019,-1.21,-2.16,-0.26,-2.5,0.012,-1.21*,"-1.21(-2.16,-0.26)",Qatar ,"-1.21(-2.16,-0.26)"
Republic of Korea ,South Korea,1990,2019,-1.92,-2.37,-1.47,-8.34,< 0.001,-1.92*,"-1.92(-2.37,-1.47)",Republic of Korea ,"-1.92(-2.37,-1.47)"
Saudi Arabia ,Saudi Arabia,1990,2019,-1.69,-1.9,-1.49,-16.31,< 0.001,-1.69*,"-1.69(-1.90,-1.49)",Saudi Arabia ,"-1.69(-1.90,-1.49)"
Singapore ,Singapore,1990,2019,-4.03,-4.31,-3.74,-26.82,< 0.001,-4.03*,"-4.03(-4.31,-3.74)",Singapore ,"-4.03(-4.31,-3.74)"
Sri Lanka ,Sri Lanka,1990,2019,-0.92,-1.28,-0.55,-4.91,< 0.001,-0.92*,"-0.92(-1.28,-0.55)",Sri Lanka ,"-0.92(-1.28,-0.55)"
Syrian Arab Republic ,Syria,1990,2019,-0.9,-1.07,-0.73,-10.91,< 0.001,-0.90*,"-0.90(-1.07,-0.73)",Syrian Arab Republic ,"-0.90(-1.07,-0.73)"
Taiwan (Province of China) ,Taiwan,1990,2019,-2.73,-3.16,-2.3,-12.3,< 0.001,-2.73*,"-2.73(-3.16,-2.30)",Taiwan (Province of China) ,"-2.73(-3.16,-2.30)"
Tajikistan ,Tajikistan,1990,2019,0.05,-0.18,0.28,0.43,0.664,0.05,"0.05(-0.18,0.28)",Tajikistan ,"0.05(-0.18,0.28)"
Thailand ,Thailand,1990,2019,-0.97,-1.5,-0.44,-3.59,< 0.001,-0.97*,"-0.97(-1.50,-0.44)",Thailand ,"-0.97(-1.50,-0.44)"
Timor,East Timor,1990,2019,-0.24,-0.5,0.01,-1.86,0.063,-0.24,"-0.24(-0.50,0.01)",Timor,"-0.24(-0.50,0.01)"
Turkey ,Turkey,1990,2019,-2.27,-2.46,-2.09,-24.41,< 0.001,-2.27*,"-2.27(-2.46,-2.09)",Turkey ,"-2.27(-2.46,-2.09)"
Turkmenistan ,Turkmenistan,1990,2019,1.26,0.55,1.97,3.52,< 0.001,1.26*,"1.26(0.55,1.97)",Turkmenistan ,"1.26(0.55,1.97)"
United Arab Emirates ,United Arab Emirates,1990,2019,-1.47,-1.8,-1.14,-8.56,< 0.001,-1.47*,"-1.47(-1.80,-1.14)",United Arab Emirates ,"-1.47(-1.80,-1.14)"
Uzbekistan ,Uzbekistan,1990,2019,1.74,1.13,2.36,5.59,< 0.001,1.74*,"1.74(1.13,2.36)",Uzbekistan ,"1.74(1.13,2.36)"
Viet Nam ,Vietnam,1990,2019,-0.69,-0.79,-0.59,-13.38,< 0.001,-0.69*,"-0.69(-0.79,-0.59)",Viet Nam ,"-0.69(-0.79,-0.59)"
Yemen ,Yemen,1990,2019,-0.99,-1.06,-0.91,-25.77,< 0.001,-0.99*,"-0.99(-1.06,-0.91)",Yemen ,"-0.99(-1.06,-0.91)"
Asia ,Asia,1990,2019,-1.74,-1.9,-1.58,-21.27,< 0.001,-1.74*,"-1.74(-1.90,-1.58)",Asia,"-1.74(-1.90,-1.58)"
